State,Industrial Code,No. of Persons Engaged (no.),Workers,Directly Employed,Men,Women,Employed Through Contractors,Employees Other Than Workers,Supervisory and Managerial,Other Employees,Unpaid family members/proprietor etc,Total Mandays Employed (in '000),Wages and Salaries Including,Wages and Salary Including Bonus,Wages and Salary,workers,Supervisory & Managerial,Other Employees,Bonus to All Staff,Employers' Contribution,
Chattisgarh,202,2312,1737,1234,1013,221,503,523,282,241,52,683,7123,6726,6593,3243,2347,1003,132,397,
Chattisgarh,210,121,85,60,60,0,25,33,18,15,3,25,172,167,166,62,77,27,0,5,
Chattisgarh,221,4073,3938,247,240,7,3692,127,39,88,8,1163,5346,4936,4930,4188,301,441,6,410,
Chattisgarh,222,3351,2781,1750,1653,97,1031,516,180,336,55,1085,7102,6775,6726,3779,1369,1578,49,327,
Chattisgarh,231,187,139,98,98,0,41,48,25,23,0,56,391,375,367,201,102,64,8,16,
Chattisgarh,239,24232,19409,6921,6884,37,12488,4452,2198,2254,371,8011,87931,78189,76560,38225,25881,12454,1629,9742,
Chattisgarh,241,112693,95528,50394,49989,405,45133,17088,9290,7798,78,36994,663352,573907,543647,306382,192227,45038,30260,89445,
Chattisgarh,242,5067,4362,1845,1714,131,2518,702,555,147,3,1530,36911,31146,27187,21163,5657,367,3958,5765,
Chattisgarh,243,4724,3708,2557,2543,14,1151,1011,619,392,5,1480,14423,13642,13385,6697,5448,1240,258,781,
Chattisgarh,251,9762,8586,3233,3230,3,5353,1172,664,508,4,2964,25273,24190,23859,17005,5666,1188,331,1083,
Chattisgarh,259,5621,4726,1566,1566,0,3160,867,466,401,28,1678,nan,9849,9781,7025,2242,514,68,293,
Chattisgarh,265,172,118,112,106,6,6,53,32,21,1,52,617,573,558,132,313,113,15,44,
Chattisgarh,271,251,156,156,156,0,0,91,63,28,4,73,722,677,661,193,417,51,16,45,
Chattisgarh,272,57,34,23,23,0,11,21,7,14,2,13,129,124,124,42,52,30,0,5,
Chattisgarh,273,89,55,55,55,0,0,34,18,16,0,26,352,321,305,145,145,15,16,31,
Chattisgarh,279,76,57,57,52,5,0,19,11,8,0,22,184,176,172,122,37,13,3,8,
Chattisgarh,281,1489,892,862,862,0,30,585,324,261,12,444,3099,2829,2735,1266,1184,285,95,270,
Chattisgarh,282,2359,1831,1139,1138,1,692,526,279,247,2,715,5792,5168,5055,2677,1699,679,113,624,
Chattisgarh,292,801,610,545,545,0,65,191,93,98,0,246,2010,1879,1856,1071,606,179,24,131,
