State,Industrial Code,No. of Persons Engaged (no.),Workers,Directly Employed,Men,Women,Employed Through Contractors,Employees Other Than Workers,Supervisory and Managerial,Other Employees,Unpaid family members/proprietor etc,Total Mandays Employed (in '000),Wages and Salaries Including,Wages and Salary Including Bonus,Wages and Salary,workers,Supervisory & Managerial,Other Employees,Bonus to All Staff,Employers' Contribution,
Haryana,231,5767,4798,2429,2277,152,2369,968,489,479,1,1728,22554,20068,19490,11054,6273,2163,578,2486,
Haryana,239,42648,36475,3085,3050,35,33390,5311,2501,2810,862,9353,55384,52315,51952,34018,12406,5528,363,3069,
Haryana,241,30276,23915,8087,8022,65,15828,6352,3185,3167,9,9205,99720,92800,88493,42479,37792,8222,4306,6920,
Haryana,242,8003,6249,4260,4228,32,1989,1739,848,891,16,2433,28464,25980,25413,11237,10648,3528,568,2484,
Haryana,243,11545,9283,5491,5341,150,3792,2240,1174,1066,23,3451,38758,35387,33919,15666,13544,4709,1468,3371,
Haryana,251,11913,10525,3949,3913,36,6576,1376,631,745,12,3760,41638,38318,37458,24197,9641,3620,859,3320,
Haryana,259,39939,32493,15883,15242,641,16610,7291,3625,3666,155,12015,128680,119433,116388,54123,47687,14578,3045,9247,
Haryana,261,6399,5327,2581,2467,114,2746,1069,508,561,3,1933,24477,22872,22309,10279,8832,3198,562,1605,
Haryana,262,2497,2031,1019,1009,10,1012,466,177,289,0,762,8413,7686,7280,3764,2109,1407,406,727,
Haryana,263,4471,3286,481,424,57,2805,1184,239,945,1,1330,15639,13979,13709,6187,3745,3777,270,1660,
Haryana,264,1233,1011,535,485,50,476,222,139,83,0,371,4864,4302,4214,1854,1753,607,88,562,
Haryana,265,4001,2878,910,856,54,1968,1120,720,400,3,1178,29019,27552,27128,5795,18572,2761,424,1467,
Haryana,267,760,568,568,550,18,0,192,42,150,0,232,3006,2782,2616,1052,809,755,166,224,
Haryana,271,13047,10283,4989,4816,173,5294,2747,1437,1310,18,3940,65053,59413,57892,23032,28246,6614,1522,5640,
Haryana,272,7886,6553,1963,1789,174,4590,1330,658,672,3,2385,24484,22275,22003,10859,7139,4005,272,2209,
Haryana,273,10986,9262,4346,3773,573,4916,1717,924,793,9,3293,41203,37098,36181,18578,12839,4764,917,4105,
Haryana,274,12771,10584,3806,3484,322,6778,2186,918,1268,1,3797,39907,35542,34387,19109,10852,4426,1156,4365,
Haryana,275,7506,5952,2653,2398,255,3300,1551,689,862,3,2271,22723,21764,21442,11113,7572,2757,322,959,
Haryana,279,10139,7788,5058,4737,321,2730,2347,1228,1119,3,3057,42537,38619,37226,13563,18715,4948,1393,3918,
Haryana,281,33490,25651,13485,13124,361,12166,7824,3852,3972,16,10115,148068,134700,131585,49760,60455,21370,3115,13368,
Haryana,282,26906,19517,11910,11697,213,7607,7324,3956,3368,65,8081,172203,152074,148388,40156,94125,14107,3686,20129,
Haryana,291,33374,21564,6201,6201,0,15363,11810,4456,7354,0,9383,407303,355480,349498,61584,226809,61105,5982,51823,
Haryana,292,9044,7600,3222,3069,153,4378,1436,642,794,9,2725,37384,33847,33051,13802,14679,4570,796,3537,
Haryana,293,194384,160862,57930,56577,1353,102932,33501,18526,14975,21,58488,777945,696537,679188,299782,303363,76043,17348,81408,
Haryana,302,2634,2000,853,848,5,1147,632,424,208,2,801,18502,16608,15099,3723,10107,1269,1510,1894,
Haryana,303,263,227,175,175,0,52,36,19,17,0,79,1323,1199,1095,575,444,76,103,124,
Haryana,309,48450,40062,12653,12493,160,27409,8386,4842,3544,3,14470,261268,232532,221150,106897,92623,21630,11382,28736,
Haryana,310,7535,6042,5347,5319,28,695,1485,708,777,7,2270,23852,22434,21856,10484,8073,3299,578,1418,
Haryana,321,701,542,341,284,57,201,159,64,95,0,212,2578,2402,2321,1211,673,437,81,176,
Haryana,323,499,446,355,345,10,91,51,30,21,2,148,1597,1378,1312,541,729,42,66,219,
Haryana,324,1110,934,542,417,125,392,176,107,69,0,337,2981,2761,2670,1530,892,248,91,220,
Haryana,325,18739,15227,9294,7867,1427,5933,3508,1907,1601,4,5685,78772,70884,68969,28663,32592,7714,1914,7888,
Haryana,329,5243,3651,2563,2415,148,1088,1581,727,854,11,1534,33397,28697,28000,8786,12437,6777,697,4700,
Haryana,331,485,371,202,202,0,169,110,45,65,4,144,1371,1299,1275,580,469,226,26,72,
Haryana,382,221,158,123,123,0,35,62,30,32,1,67,574,547,544,230,252,62,3,27,
Haryana,383,53,40,0,0,0,40,12,8,4,1,11,48,47,46,28,13,5,0,1,
Haryana,581,206,54,54,54,0,0,152,56,96,0,71,693,638,630,126,287,217,8,55,
Haryana,Other,23001,13792,10109,10071,38,3683,9185,3791,5394,23,7047,109150,101264,98083,24070,58424,15589,3181,7886,
Himachal Pradesh,All,216241,153230,98715,86555,12160,54515,62937,25850,37087,74,66138,879782,793296,770113,310155,286522,173436,23183,86486,
Himachal Pradesh,103,864,652,460,356,104,192,211,114,97,1,260,2996,2596,2540,1229,1157,154,56,400,
Himachal Pradesh,104,221,140,92,87,5,48,81,16,65,0,67,1039,972,950,215,407,328,22,67,
Himachal Pradesh,105,351,324,220,217,3,104,27,5,22,0,105,1712,1440,1377,997,155,225,63,272,
Himachal Pradesh,106,675,419,410,386,24,9,246,123,123,11,201,1896,1694,1640,865,487,288,54,202,
Himachal Pradesh,107,7566,6049,3296,3030,266,2753,1517,593,924,0,2319,36322,32718,32009,17697,9425,4887,709,3604,
Himachal Pradesh,108,269,229,188,188,0,41,40,20,20,0,82,563,485,434,332,65,37,51,78,
Himachal Pradesh,110,1316,847,633,606,27,214,469,211,258,0,408,4826,4327,4160,1800,1507,853,167,499,
Himachal Pradesh,120,206,141,135,133,2,6,65,29,36,0,63,632,493,476,261,149,66,16,139,
Himachal Pradesh,131,13999,11764,10830,8323,2507,934,2233,737,1496,2,4633,44482,39774,37809,23416,9146,5247,1965,4708,
Himachal Pradesh,139,3658,3032,2474,2294,180,558,624,336,288,3,1113,nan,9983,9686,5285,3010,1391,297,1180,
Himachal Pradesh,141,610,528,339,247,92,189,82,35,47,0,186,1366,1296,1269,776,264,229,26,70,
Himachal Pradesh,152,814,699,699,409,290,0,114,49,65,1,245,1694,1439,1413,940,338,135,25,255,
Himachal Pradesh,162,748,508,369,368,1,139,238,106,132,2,227,3302,3169,3129,1386,1286,457,39,133,
Himachal Pradesh,170,9675,7580,5623,5203,420,1957,2096,882,1214,0,2926,29628,26740,25931,13750,7082,5099,808,2888,
Himachal Pradesh,181,1264,884,799,786,13,85,379,125,254,0,385,4256,3836,3735,1715,1358,662,100,420,
Himachal Pradesh,192,439,317,73,55,18,244,122,50,72,0,133,2860,2508,2303,875,857,571,205,352,
Himachal Pradesh,201,1215,967,766,738,28,201,247,154,93,1,367,4903,4471,4364,2288,1780,296,108,432,
Himachal Pradesh,202,20432,14504,6962,6288,674,7542,5928,1696,4232,0,6199,89827,81587,79635,29816,26948,22871,1953,8240,
Himachal Pradesh,203,1847,1572,1507,1308,199,65,275,200,75,0,572,3743,3490,3374,2181,982,211,115,253,
Himachal Pradesh,210,74203,43217,24349,20775,3574,18868,30954,12000,18954,32,22547,364583,331311,321790,92820,136495,92475,9521,33272,
Himachal Pradesh,221,1733,1245,971,886,85,275,486,280,206,3,521,7153,6282,5904,2262,2827,815,378,871,
Himachal Pradesh,222,8768,6456,3637,3045,592,2819,2312,1041,1271,0,2655,26077,23772,23137,10854,8005,4278,636,2305,
Himachal Pradesh,231,961,765,687,646,41,78,196,86,110,0,292,2602,2344,2269,1386,437,446,75,258,
Himachal Pradesh,239,4986,3969,2007,2005,2,1962,1017,762,255,0,1562,20918,17925,17587,8388,8046,1153,338,2993,
Himachal Pradesh,241,3555,2688,2517,2517,0,171,855,363,492,13,1089,9157,8194,7923,4251,2745,927,271,963,
Himachal Pradesh,242,1811,1570,709,698,11,861,242,135,107,0,549,3931,3699,3286,2398,603,285,413,232,
Himachal Pradesh,243,746,561,313,313,0,248,186,109,77,0,224,2744,2648,2647,852,1657,138,1,96,
Himachal Pradesh,251,3611,2507,1935,1915,20,571,1104,451,653,0,1095,12322,11128,10789,4698,3257,2834,338,1194,
Himachal Pradesh,252,118,107,55,55,0,52,10,3,7,1,36,249,234,225,193,8,24,9,15,
Himachal Pradesh,259,2609,2238,1642,1477,165,596,371,225,146,0,770,9178,8163,7954,4816,2763,375,208,1015,
Himachal Pradesh,261,1816,1392,1203,898,305,189,424,221,203,0,547,6094,5140,4976,2302,1746,928,163,954,
Himachal Pradesh,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Himachal Pradesh,263,286,177,172,123,49,5,109,31,78,0,86,1161,1059,1046,429,239,378,13,102,
Himachal Pradesh,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Himachal Pradesh,265,2153,1476,1197,651,546,279,677,306,371,0,655,8136,7176,7016,2480,2622,1914,161,960,
Himachal Pradesh,266,53,36,36,36,0,0,17,10,7,0,15,202,186,175,86,67,22,11,16,
Himachal Pradesh,271,2973,2580,1349,1112,237,1231,392,225,167,1,904,8836,7694,7409,3985,2946,478,285,1142,
Himachal Pradesh,272,6493,5534,3129,3079,50,2405,959,536,423,0,2003,27788,25411,24844,12419,10524,1901,567,2377,
Himachal Pradesh,273,1715,1361,1009,922,87,352,353,156,197,1,515,4321,3781,3637,1960,874,803,143,540,
Himachal Pradesh,274,1031,825,460,453,7,365,206,127,79,0,310,2463,2213,2170,1310,693,167,43,250,
Himachal Pradesh,275,5086,3932,2746,2152,594,1186,1153,489,664,1,1532,16354,14981,14242,6059,4283,3900,739,1373,
Himachal Pradesh,279,2269,1926,692,565,127,1234,343,190,153,0,679,10243,9194,8930,4806,1720,2404,265,1049,
Himachal Pradesh,281,1555,1190,893,884,9,297,365,202,163,0,472,5829,5228,5012,2375,2158,479,217,601,
Himachal Pradesh,282,3155,2320,1416,1277,139,904,835,218,617,0,956,10124,9208,8975,4376,2718,1881,233,916,
Himachal Pradesh,292,421,307,153,150,3,154,114,42,72,0,124,1456,1266,1223,665,437,121,43,190,
Himachal Pradesh,293,6468,5175,3323,3113,210,1853,1293,766,527,0,1960,21599,19330,18872,10371,6851,1650,458,2269,
Himachal Pradesh,302,545,357,233,231,2,124,188,71,117,0,166,1997,1815,1759,629,799,331,57,182,
Himachal Pradesh,309,1428,1119,579,579,0,540,309,180,129,0,412,6840,6476,6373,2455,1294,2624,103,364,
Himachal Pradesh,310,361,298,289,289,0,9,64,45,19,0,108,1145,947,922,486,368,68,25,198,
Himachal Pradesh,325,580,389,221,218,3,168,191,140,51,0,174,1829,1668,1630,752,676,202,38,161,
Himachal Pradesh,329,1590,1359,1334,1116,218,25,231,84,147,0,488,5105,4423,4306,2322,1066,918,117,682,
Himachal Pradesh,Other,6995,5003,3589,3355,234,1414,1991,876,1115,2,2201,32138,27383,26847,11149,11190,4508,534,4755,
Jammu & Kashmir,All,62706,49133,27518,26012,1506,21616,13254,5632,7622,319,18999,171860,157973,152337,71330,49884,31123,5636,13887,
Jammu & Kashmir,103,326,232,226,206,20,6,87,45,42,7,93,922,879,859,487,231,141,21,43,
Jammu & Kashmir,104,572,458,356,352,4,102,108,43,65,6,172,1427,1332,1300,525,526,249,33,95,
Jammu & Kashmir,105,605,304,289,289,0,15,299,75,224,2,191,1925,1815,1783,466,877,440,31,110,
Jammu & Kashmir,106,3237,2155,805,793,12,1350,1058,210,848,25,964,7223,6723,6647,2810,1093,2744,76,500,
Jammu & Kashmir,107,2303,1939,1325,1059,266,614,344,94,250,20,698,4242,3942,3810,2310,780,720,133,300,
Jammu & Kashmir,108,250,158,121,121,0,37,90,15,75,2,75,1019,840,836,328,294,214,5,179,
Jammu & Kashmir,110,1516,1038,603,603,0,435,473,138,335,5,459,5257,4861,4644,1430,1372,1842,217,396,
Jammu & Kashmir,120,63,47,21,21,0,26,14,3,11,2,16,66,64,64,47,6,11,0,2,
Jammu & Kashmir,131,9531,8769,7432,6574,858,1337,760,429,331,2,2923,18879,17059,15823,12372,2247,1204,1235,1820,
Jammu & Kashmir,139,52,35,35,35,0,0,15,8,7,2,15,80,66,65,36,22,7,0,14,
Jammu & Kashmir,141,631,512,512,487,25,0,115,47,68,4,178,1204,1117,1057,732,189,136,60,87,
Jammu & Kashmir,152,159,133,111,111,0,22,21,9,12,5,46,236,227,226,185,27,14,1,9,
Jammu & Kashmir,162,250,171,142,142,0,29,64,35,29,15,61,368,358,348,173,140,35,8,10,
Jammu & Kashmir,170,1313,1041,757,757,0,284,258,136,122,14,393,2808,2607,2404,1454,717,233,204,201,
Jammu & Kashmir,181,242,103,85,85,0,18,117,24,93,23,75,614,559,543,157,106,280,16,55,
Jammu & Kashmir,192,1220,1081,376,376,0,705,132,64,68,7,369,2893,2636,2536,1529,452,555,101,257,
Jammu & Kashmir,201,176,120,46,46,0,74,48,18,30,8,45,308,258,250,106,74,70,7,50,
Jammu & Kashmir,202,9406,7698,1774,1771,3,5924,1705,726,979,3,2873,23066,21228,20644,10311,6396,3937,584,1838,
Jammu & Kashmir,210,7750,4929,1954,1932,22,2975,2816,1390,1426,6,2347,40107,36856,36046,7079,19017,9950,810,3251,
Jammu & Kashmir,221,514,449,183,183,0,266,60,23,37,5,155,811,739,722,561,85,76,17,72,
Jammu & Kashmir,222,5818,4716,2288,2194,94,2427,1076,501,575,27,1721,12581,11744,11375,6457,2971,1947,370,837,
Jammu & Kashmir,231,121,94,66,66,0,28,25,9,16,2,37,235,223,220,136,52,32,2,12,
Jammu & Kashmir,239,3921,3257,2263,2263,0,994,647,407,240,17,1290,13350,12280,12080,8161,3035,884,201,1070,
Jammu & Kashmir,241,2727,2183,1014,1014,0,1169,517,191,326,27,817,5499,5127,4824,2596,1500,728,302,372,
Jammu & Kashmir,242,694,553,258,242,16,295,142,80,62,0,211,1455,1324,1300,698,457,145,23,131,
Jammu & Kashmir,243,57,42,42,42,0,0,15,6,9,0,16,74,67,62,42,11,9,5,7,
Jammu & Kashmir,251,912,719,544,544,0,175,171,62,109,22,269,1788,1705,1689,1050,359,280,16,83,
Jammu & Kashmir,252,326,250,250,250,0,0,69,10,59,8,97,686,638,624,276,215,133,14,48,
Jammu & Kashmir,259,500,396,182,167,15,214,98,39,59,7,149,1091,1026,1001,715,181,105,25,65,
Jammu & Kashmir,264,56,30,30,30,0,0,25,9,16,1,17,107,104,104,31,36,37,0,3,
Jammu & Kashmir,271,987,762,395,387,8,367,220,98,122,5,299,3262,2984,2956,1120,1185,651,29,278,
Jammu & Kashmir,272,5,3,3,3,0,0,1,1,0,1,1,8,7,7,4,3,0,0,1,
Jammu & Kashmir,273,275,222,140,135,5,82,50,23,27,3,83,621,586,565,301,184,80,20,35,
Jammu & Kashmir,275,173,152,88,76,12,64,15,7,8,6,50,235,216,215,171,29,15,1,19,
Jammu & Kashmir,279,152,117,102,100,2,15,29,13,16,7,43,429,389,376,143,191,42,13,40,
Jammu & Kashmir,281,340,278,278,278,0,0,61,24,37,1,102,744,648,602,320,165,117,47,96,
Jammu & Kashmir,292,58,35,35,35,0,0,23,9,14,0,18,128,120,113,44,31,38,8,8,
Jammu & Kashmir,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jammu & Kashmir,310,339,256,184,184,0,72,67,25,42,16,70,893,866,851,411,143,297,14,27,
Jammu & Kashmir,323,168,142,97,73,24,45,26,13,13,0,52,648,627,617,215,329,73,8,21,
Jammu & Kashmir,nan,49,34,34,34,0,0,9,6,3,7,12,50,50,50,37,10,3,0,0,
Jammu & Kashmir,329,1583,1376,266,183,83,1110,207,70,137,0,481,2392,2246,2196,1535,376,285,50,146,
Jammu & Kashmir,Other,3333,2148,1808,1771,37,340,1183,500,683,2,1017,12130,10832,9901,3769,3771,2361,930,1298,
Jharkhand,All,211954,174352,79163,72355,6808,95189,36982,24091,12891,620,69315,1209368,1022428,922851,527390,314430,81031,99577,186940,
Jharkhand,103,251,201,41,18,23,160,48,14,34,2,77,870,821,805,491,211,103,16,49,
Jharkhand,104,177,131,71,71,0,60,43,13,30,3,53,351,313,302,167,113,22,10,38,
Jharkhand,105,1417,1081,500,446,54,581,336,135,201,0,484,4161,3730,3695,2392,968,335,36,431,
Jharkhand,106,3162,2577,2275,2233,42,303,536,252,284,49,691,4690,4475,4431,2012,2052,367,44,215,
Jharkhand,107,2575,2161,1907,1279,628,254,405,305,100,10,787,5553,4867,4719,3051,1464,204,148,686,
Jharkhand,108,455,345,267,254,13,78,108,35,73,2,137,992,966,959,507,211,241,7,26,
Jharkhand,110,1561,1246,778,666,112,468,311,235,76,4,465,4305,4080,4059,1733,1810,516,20,225,
Jharkhand,120,275,172,83,70,13,89,101,56,45,3,86,606,402,374,160,158,56,29,204,
Jharkhand,131,476,407,311,211,100,96,69,19,50,0,144,639,567,550,377,98,75,19,72,
Jharkhand,141,4396,4122,4103,1282,2821,19,273,77,196,1,1139,4991,4250,4186,3486,486,214,64,741,
Jharkhand,161,95,70,70,70,0,0,17,12,5,8,25,129,111,103,86,12,5,8,18,
Jharkhand,162,245,192,101,67,34,91,52,21,31,1,75,388,377,376,202,102,72,1,11,
Jharkhand,170,1079,877,380,367,13,497,195,49,146,7,320,1700,1605,1576,944,500,132,29,95,
Jharkhand,181,1829,1060,783,706,77,277,765,183,582,5,626,7234,6416,6213,2604,1798,1811,204,818,
Jharkhand,191,3609,2719,1722,1656,66,996,849,427,422,42,1060,5231,5035,4871,2692,1408,771,164,196,
Jharkhand,192,717,618,175,174,1,443,98,68,30,1,200,3590,3305,3175,1646,1356,173,129,285,
Jharkhand,201,1221,901,591,582,9,310,318,179,139,2,392,7066,6139,5875,2242,2714,919,264,927,
Jharkhand,202,2399,1889,1106,1019,87,783,477,314,163,33,685,8407,7794,7480,3865,3002,613,315,613,
Jharkhand,210,69,58,58,48,10,0,10,8,2,1,20,115,108,105,71,26,8,3,7,
Jharkhand,221,426,281,272,271,1,9,145,43,102,0,127,1366,1247,1167,752,156,259,80,119,
Jharkhand,222,1367,1092,771,764,7,321,269,187,82,6,408,2448,2255,2189,1344,627,218,65,193,
Jharkhand,231,488,407,383,377,6,24,81,61,20,0,170,1870,1716,1628,995,549,84,88,154,
Jharkhand,239,26099,21616,6030,4879,1151,15586,4080,2035,2045,402,6793,69726,63398,62485,34613,20865,7007,912,6328,
Jharkhand,241,99309,82809,32534,31806,728,50275,16500,11499,5001,0,35672,812734,669137,581341,321591,200534,59216,87795,143597,
Jharkhand,242,2431,2058,1175,1107,68,883,373,302,71,0,798,15763,13963,13096,8135,4740,221,867,1800,
Jharkhand,243,2569,1956,1047,1038,9,909,613,324,289,1,787,6838,6659,6595,3755,2295,545,65,179,
Jharkhand,251,698,502,500,479,21,2,196,181,15,0,213,1736,1502,1440,761,655,24,62,234,
Jharkhand,259,2754,2312,1331,1279,52,980,421,254,167,22,855,7977,7456,7279,4412,2134,733,176,521,
Jharkhand,261,418,325,106,103,3,219,93,61,32,0,126,1363,1258,1199,634,483,82,58,105,
Jharkhand,279,214,167,79,78,1,88,46,23,23,1,63,582,494,483,259,195,29,12,88,
Jharkhand,nan,111,77,75,60,15,2,34,19,15,0,32,287,261,251,96,126,29,10,26,
Jharkhand,281,2504,1177,920,905,15,257,1328,1065,263,0,768,17522,14733,14292,5019,8652,621,442,2789,
Jharkhand,282,2294,1747,726,716,10,1021,547,409,138,0,696,10841,9773,9689,5345,3984,360,84,1068,
Jharkhand,291,11177,10246,5979,5811,168,4267,931,927,4,0,4073,95669,79028,75045,56973,18053,19,3984,16641,
Jharkhand,292,1039,876,211,211,0,665,163,108,55,0,316,2059,1994,1981,1356,540,85,14,65,
Jharkhand,293,20861,17991,6068,5880,188,11923,2870,2005,865,0,6471,67649,62914,60770,39335,18846,2589,2145,4735,
Jharkhand,302,372,250,202,189,13,48,122,82,40,1,107,597,589,584,301,188,95,5,8,
Jharkhand,310,49,37,37,37,0,0,7,5,2,5,13,97,92,88,70,15,3,5,5,
Jharkhand,331,991,622,320,316,4,302,368,360,8,1,303,5280,5040,4956,1781,3165,10,84,240,
Jharkhand,Other,9777,6979,5076,4831,245,1903,2791,1744,1047,8,3056,25947,23559,22447,11142,9139,2166,1113,2388,
Karnataka,All,1079730,839642,572287,351698,220589,267355,237619,112424,125195,2469,325981,4756439,4197947,4019110,1943714,1558320,517076,178837,558492,
Karnataka,16,6085,4207,3195,2533,662,1012,1735,687,1048,143,1706,17141,15901,15281,6403,5320,3558,620,1240,
Karnataka,101,1582,1264,566,467,99,698,317,153,164,1,518,5570,4993,4947,2687,1664,596,45,577,
Karnataka,102,5267,3992,2715,1956,759,1277,1274,603,671,1,1597,16763,13799,13311,6581,5372,1358,487,2964,
Karnataka,103,7095,5222,2433,1528,905,2790,1867,743,1124,6,2188,21205,18727,18193,9516,5926,2751,535,2478,
Karnataka,104,3644,2474,1580,1369,211,894,1133,610,523,38,1068,14044,12686,12209,4226,6810,1173,476,1358,
Karnataka,105,15524,12231,3649,2887,762,8582,3286,1301,1985,8,5313,65276,56204,54220,30905,13273,10042,1985,9072,
Karnataka,106,13610,9813,6575,6115,460,3237,3439,1786,1653,358,4044,37406,34646,33247,18628,11428,3191,1399,2760,
Karnataka,107,66843,48321,35827,24037,11790,12495,18317,6624,11693,205,20728,219718,195731,187638,90017,61658,35963,8093,23987,
Karnataka,108,6574,5206,2474,2199,275,2732,1357,673,684,12,1981,25603,22319,21209,10309,7716,3184,1110,3284,
Karnataka,110,12439,9714,3508,2983,525,6206,2714,1140,1574,11,3851,51632,46467,44903,20571,18318,6014,1564,5165,
Karnataka,120,4067,3320,1853,1725,128,1467,719,455,264,29,1146,18059,15131,14359,8852,4557,950,773,2928,
Karnataka,131,6917,5468,4163,3407,756,1306,1405,760,645,45,2083,21385,18991,18563,11008,5528,2027,428,2394,
Karnataka,139,18550,16443,12816,7248,5568,3626,2091,611,1480,16,5574,50328,43282,41953,25280,5565,11108,1329,7046,
Karnataka,141,211006,192526,188479,46346,142133,4046,18377,8646,9731,103,62788,477657,420833,400398,301995,72940,25463,20435,56824,
Karnataka,143,26694,23165,21882,2714,19168,1283,3528,746,2782,1,7869,82084,72157,66170,34917,15984,15269,5987,9927,
Karnataka,151,6078,5129,3522,842,2680,1607,947,242,705,1,1842,16366,14971,14680,9233,2430,3017,290,1395,
Karnataka,152,4854,3967,3164,1866,1298,803,859,628,231,29,1388,19749,17166,16403,7565,7961,877,763,2583,
Karnataka,161,250,172,172,172,0,0,34,29,5,45,60,465,419,411,243,157,11,8,46,
Karnataka,162,4713,3614,2524,1749,775,1091,1061,463,598,38,1379,11162,10156,9815,6049,2185,1581,341,1006,
Karnataka,170,16530,13597,8872,7262,1610,4724,2862,1582,1280,72,4969,62940,55439,54005,30418,17956,5631,1435,7501,
Karnataka,181,9672,6347,5307,4497,810,1040,3147,1683,1464,178,2930,39182,34370,33469,15320,11967,6182,901,4812,
Karnataka,191,181,131,58,55,3,73,50,29,21,0,62,589,537,529,250,231,48,9,52,
Karnataka,192,4309,2780,1928,1763,165,853,1527,1039,488,3,1421,86108,70548,70081,21791,45113,3177,467,15560,
Karnataka,201,9741,7179,3861,3598,263,3318,2516,1383,1133,45,3058,37995,33832,32260,16020,12978,3262,1571,4163,
Karnataka,202,25344,14606,8424,4886,3538,6182,10658,3143,7515,79,7354,150948,135933,129924,32753,53917,43254,6009,15015,
Karnataka,203,1089,874,759,708,51,115,213,159,54,2,319,8266,7258,7043,2601,4226,216,215,1008,
Karnataka,210,52797,31521,15321,13096,2225,16200,21261,8024,13237,15,15593,446519,395887,381660,108808,191565,81287,14228,50632,
Karnataka,221,9986,7016,3490,3300,190,3527,2938,1666,1272,32,3069,39369,32348,31014,15879,11080,4055,1334,7021,
Karnataka,222,43453,33255,19283,15585,3698,13972,10130,4240,5890,69,13171,159458,145493,139758,68582,53116,18060,5736,13965,
Karnataka,231,1982,1534,1246,1143,103,288,442,240,202,6,591,6872,6269,6181,3092,2402,687,89,603,
Karnataka,239,27108,21187,10602,10080,522,10585,5746,3335,2411,175,8433,114548,100814,98868,51690,34398,12780,1946,13734,
Karnataka,241,41694,36794,13201,12792,409,23594,4862,3240,1622,38,14533,230925,213778,207916,145307,58153,4456,5861,17147,
Karnataka,242,6231,4605,2568,2470,98,2037,1606,1079,527,20,1923,32086,28338,27109,14362,10767,1980,1229,3748,
Karnataka,243,14574,11762,7318,6993,325,4445,2770,1797,973,41,4338,51399,45019,43286,23650,16655,2981,1733,6380,
Karnataka,251,10464,8460,4235,4051,184,4225,1977,1145,832,26,3139,39926,36016,34106,18335,13069,2702,1910,3910,
Karnataka,252,8630,5107,4799,4545,254,308,3521,776,2745,1,2891,52585,49476,48300,18113,26995,3192,1176,3109,
Karnataka,259,34185,26656,16559,15122,1437,10098,7336,4069,3267,193,10039,128828,116336,110764,61066,38498,11200,5571,12492,
Karnataka,261,15564,11931,6839,4984,1855,5092,3633,2072,1561,0,4657,70390,61399,59216,26715,24750,7751,2184,8991,
Karnataka,262,687,303,295,278,17,8,384,62,322,0,193,5917,5376,5045,771,1879,2395,331,541,
Karnataka,263,10036,8273,3418,2313,1105,4855,1763,669,1094,0,3002,60649,54192,48544,26226,18353,3965,5649,6457,
Karnataka,265,5631,3236,2003,1607,396,1233,2394,928,1466,1,1682,41792,37825,34956,8629,15561,10766,2868,3967,
Karnataka,266,2322,1675,1036,872,164,639,647,408,239,0,615,33962,24750,23280,6559,14272,2449,1471,9212,
Karnataka,268,149,119,119,119,0,0,30,20,10,0,31,221,221,221,150,58,13,0,0,
Karnataka,271,27318,18982,8776,7495,1281,10206,8300,5072,3228,35,8255,174483,149810,146333,55758,77241,13334,3478,24673,
Karnataka,272,1259,926,644,491,153,282,331,168,163,3,377,5067,4508,4232,1984,1824,424,276,559,
Karnataka,273,5373,4098,2015,1698,317,2083,1255,687,568,21,1605,27682,23299,22045,10193,10151,1701,1254,4383,
Karnataka,274,2597,1874,724,582,142,1150,723,369,354,0,781,11679,10285,9901,3915,4805,1181,385,1394,
Karnataka,275,3474,2470,2103,1411,692,367,967,410,557,37,1015,10265,9409,9083,4516,3058,1509,326,856,
Karnataka,279,14555,12290,7777,6692,1085,4513,2265,1240,1025,0,4331,74235,64680,60140,32560,22336,5244,4540,9555,
Karnataka,281,42314,29489,17040,15999,1041,12449,12759,5964,6795,66,12595,248184,220542,210875,88972,82882,39021,9666,27642,
Karnataka,282,31483,21709,14541,13766,775,7169,9700,4937,4763,73,9287,221715,194837,180938,69475,85997,25466,13900,26878,
Karnataka,291,13623,9045,6036,5997,39,3009,4578,3065,1513,0,3872,146474,123759,113091,37834,69890,5367,10668,22715,
Karnataka,292,3867,3348,1734,1465,269,1614,517,300,217,2,1147,17017,14975,14725,10613,3238,874,251,2042,
Karnataka,293,59301,47002,20971,19364,1607,26032,12236,5862,6374,62,17669,267739,228211,218620,123206,72301,23113,9590,39528,
Karnataka,301,181,103,91,83,8,12,78,42,36,0,53,885,829,828,338,379,111,0,56,
Karnataka,302,756,407,259,257,2,148,349,152,197,0,214,5556,4855,4328,1102,2445,781,527,701,
Karnataka,303,11234,6812,4221,3940,281,2591,4412,3169,1243,9,3227,83893,74210,72925,23005,45391,4529,1285,9683,
Karnataka,309,15057,13093,5002,4861,141,8091,1964,1400,564,0,4496,92822,82800,81401,33992,46403,1006,1399,10022,
Karnataka,310,12241,8754,5020,4640,380,3735,3473,1586,1887,14,3635,44457,40637,38974,18398,13804,6772,1664,3820,
Karnataka,321,1531,976,976,903,73,0,555,143,412,0,456,6776,5845,5423,2144,1728,1551,421,931,
Karnataka,323,193,182,19,14,5,163,11,8,3,0,48,519,471,464,340,115,9,8,48,
Karnataka,324,2744,2526,322,241,81,2204,217,178,39,1,853,6771,6374,6292,4550,1638,104,82,397,
